ID,Artist,Album,Media type,Xfer option,Xfer type,Image #,Total CDs,Date received,Customer notes,Private notes,Track 1,Track 2,Track 3,Track 4,Track 5,Track 6,Track 7,Track 8,Track 9,Track 10,Track 11,Track 12,Track 13,Track 14,Track 15,Track 16,Track 17,Track 18,Track 19,Track 20,Track 21,Track 22,Track 23,Track 24,Track 25,Track 26,Track 27,Track 28
01882-00005,Zazen,Mystery School,cass,del,CD,,,12/17/2014,,,Songs for Isis: Harvest Time,Songs for Isis: Nile Melody,Songs for Isis: Fertility Rite,Odes to Ra: High Priest,Odes to Ra: Sun Worship,Odes to Ra: Mystery School,,,,,,,,,,,,,,,,,,,,,,
01882-00006,Zazen,Urban Destruction,cass,del,CD,,,12/17/2014,,,Freeway Nightmares,Malibu,Death on Melrose,Urban Destruction,L.A. Digital Mindscapes,Bag Lady Blues,Psychotic Dog,,,,,,,,,,,,,,,,,,,,,
01882-00007,Zazen,Occult Dancer,cass,del,CD,,,12/17/2014,,,Sunset -- Part 2,Midnight,4:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,
01882-00008,Zazen,Mystery School -- Music from the Other Side,cass,del,CD,,,12/17/2014,,,Crystal Dome,Harvest Time,Telepathy,Fertility Rite,High Priest,Nile Melody,Mystery School,,,,,,,,,,,,,,,,,,,,,
01947-00001,BonBons,,cass,del,CD,,,12/17/2014,,,Luxury of Love,Your Kiss,A Boy in the Sun,Remember,,,,,,,,,,,,,,,,,,,,,,,,
01885-00001,,Conversation with Mom - 9/10/96,cass,std,CD,,,12/17/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01885-00002,,1993 Summer / Part 1 - Interview with Mother,cass,std,CD,,,12/17/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01884-00001,The King Brothers Orchestra,Happy Tappy Polkas,cass,del,CD,,,12/17/2014,,,Happy Tappy,Play Musicians,Jumping Johnny,Come On and Dance,In a Hurry,Grandfathers,Drink Your Beer ,Cabbage Patch,Red Rose,Home Life,Siwey Kon,Reevesdale,,,,,,,,,,,,,,,,
01967-00001,,Ten Tones 1969,cass,del,CD,,,12/17/2014,,,unlisted,,,,,,,,,,,,,,,,,,,,,,,,,,,
01949-00001,College Park Presbyterian Church Choir,Messiah by Handel,LP,del,CD,,,12/17/2014,,,Overture,"Comfort Ye My People, Every Valley Shall Be Exalted",And the Glory of the Lord,Thus Saith the Lord,And He Shall Purify,Behold a Virgin Shall Conceive,O Thou That Tellest Good Tidings to Zion,"For Behold, Darkness Shall cover the Face of the Earth",The People that Walked in Darkness,For Unto Us a Child is Born,There Were Shepherds Abiding...,Glory to God,Then Shall the Eyes of the Blind...,Hallelujah Chorus,,,,,,,,,,,,,,
01933-00001,Beethoven -- Vienna Symphony Orchestra,"""Pastoral"" Symphony No. 6 in F Major",LP,del,CD,,,12/17/2014,,,Mvt. 1: Cheerful impressions received on arriving in the country (Allegro ma non troppo),Mvt. II: By the brook (Andante molto mosso),Mvt. III: Peasants' merry-making (Allegro); Mvt. IV: Tempest and Storm (Allegro); Mvt. V: The Shepherd Hymn; Thanksgiving after the Storm (Allegretto),,,,,,,,,,,,,,,,,,,,,,,,,
